sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v2,metric_icl_E_rate_qwen25_completion_v2,metric_icl_C_qwen25_completion_v2,metric_icl_D_qwen25_completion_v2,metric_icl_D_rate_qwen25_completion_v2,metric_icl_E_qwen25_completion_v2_std,metric_icl_E_rate_qwen25_completion_v2_std,metric_icl_C_qwen25_completion_v2_std,metric_icl_D_qwen25_completion_v2_std,metric_icl_D_rate_qwen25_completion_v2_std
test.sa-sb.sa-b::00329,Ken loved going to church. He spent time with family. He got to learn valuable lessons. They even went to eat after.,0.0,content_diversity,it was delicious,the meal was tasty,the food was to his liking,he enjoyed his meal,he likes what they eat that day,-0.032,0.950,-0.354,-0.863,-0.805,12.461797,0.916821,0.339542,4.231304,0.311299,70.804573,1.771776,0.000000,24.041127,0.601592
test.sa-sb.sa-b::00330,Jake was never in his son's life. His son got the lead role in his Christmas play. Jake promised he would show up. On the day of the play Jake got drunk.,1.0,content_diversity,he showed up drunk,he was not able to come,he made it anyway,his son was still happy to see him,Jake missed the play,-0.019,0.969,-0.297,-0.653,-0.136,18.271094,0.861724,0.441100,8.059384,0.380106,25.917229,0.775618,0.000000,11.432096,0.342125
test.sa-sb.sa-b::00332,"Karen proposed to her boyfriend last night. She walked right up to him and got down on one knee. He was so shocked, he started crying. People clapped and cheered when he nodded and said yes.",0.0,content_diversity,it was a joyous occasion,it was such a wonderful time,it was so much happiness,there is a lot of good feeling,that was a special time,-0.078,0.910,-0.535,-0.757,-0.685,28.108437,1.067401,0.391408,11.001853,0.417789,33.858538,0.995387,0.000000,13.252486,0.389602
test.sa-sb.sa-b::00334,I woke up with my arm hurting everyday for a week. I did not know why. I used a camera to record myself sleeping. I solved the mystery.,1.0,content_diversity,It was cat scratching my arm,I was sleeping in uncomfortable position,It was because of the pillow,"However, I won't tell you the details",It was a prank from my brother,-0.049,0.935,-0.185,-0.654,-0.155,4.947344,0.138839,0.592717,2.932376,0.082292,37.285377,0.923599,0.000000,22.099685,0.547433
test.sa-sb.sa-b::00335,Elroy was printing out papers for his presentation. Halfway through it his printer stopped working. It said it needed yellow ink even though the prints were in black. Elroy was really upset and threw the printer against the wall.,0.0,content_diversity,Because of his actions Elroy was fired.,Elroy was fired right away.,Elroys boss had no coice but to let him go.,Elroys actions resulted in him being sacked.,Elroy was immediately fired.,-0.066,0.915,-0.366,-0.951,-0.708,35.812813,0.817655,0.447526,16.027152,0.365922,61.710033,1.098046,0.000000,27.616822,0.491404
test.sa-sb.sa-b::00337,Sam had never been to a fancy restaurant. He realized they had valet parking. He was ashamed of his modest car. He could also not afford to tip.,0.0,content_diversity,everything went on well,the dinner was good,we ate good,it was ok in the end,dinner was really good,-0.045,0.930,-0.381,-0.766,-0.526,25.996563,1.900128,0.231586,6.020452,0.440044,21.517044,1.807101,0.000000,4.983057,0.418500
test.sa-sb.sa-b::00339,Janet bought a new jacket. It fit her a bit loose. Luckily it was washable. She decided to shrink it that way.,0.0,content_diversity,it became the right size,it shrink to the good size,"it got smaller, a perfect fit",it turned into the perfect fit,it downsized to fit her nicely,-0.070,0.916,-0.354,-0.856,-0.563,26.223281,0.956604,0.400334,10.498064,0.382961,40.425327,1.341672,0.000000,16.183622,0.537117
test.sa-sb.sa-b::00350,Jerry was guilted into going to his aunt's funeral. He barely knew her. Once there he didn't recognize anybody. He eventually realized he was at the wrong funeral.,1.0,content_diversity,He told a few people and they all thought it was really funny.,At the actual funeral they all thought Jerry was awful for not going.,Jerry gave up and went to a macdonalds instead.,Jerry stayed at the wrong funeral and found it really moving.,"The irony was, when Jerry died the same thing happened to his nephew.",-0.041,0.934,-0.239,-0.760,-0.287,16.751250,0.437878,0.432709,7.248414,0.189474,51.524365,0.716808,0.000000,22.295047,0.310169
test.sa-sb.sa-b::00350,Jerry was guilted into going to his aunt's funeral. He barely knew her. Once there he didn't recognize anybody. He eventually realized he was at the wrong funeral.,0.0,content_diversity,People were really good about it and catually thought it funny.,When he told people it actually lightened the mood a little.,The people he told found it amusing.,People quietly laughed when he told them of the error.,The syort was found wuite funny by the people he told.,-0.075,0.909,-0.309,-0.915,-0.672,10.755469,0.335709,0.342266,3.681226,0.114901,115.021803,1.934739,0.000000,39.367996,0.662195
test.sa-sb.sa-b::00351,Sam felt bad. He went to the doctor. The doctor told Sam he had a cold. Sam took a couple of days off.,0.0,content_diversity,Sam's symptoms vastly improved when the two days was up.,Once he had the two days of rest he did not feel so sick.,He was really feeling better after those two day off.,Sam did not feel sick anymore after he stayed home for a couple of days.,When Sam returned to work he was all better.,-0.047,0.915,-0.386,-0.872,-0.530,24.851250,0.351812,0.548023,13.619045,0.192801,51.481733,0.824380,0.000000,28.213151,0.451779
test.sa-sb.sa-b::00352,Kim had a drinking problem. Her friends and family got together to help. They all talked to Kim and tried to be comforting. Kim understood they were right.,1.0,content_diversity,Kim stopped drinking.,Kim left the intervention and went to a bar.,Kim promised them all that she would never drink again.,Kim swore that she would join an alcoholics anonymous group immediately.,Kim decided to stop drinking and try prescription drugs.,-0.048,0.935,-0.428,-0.900,-0.400,-3.133594,-0.114943,0.631869,-1.980022,-0.072629,70.937878,0.762246,0.000000,44.823471,0.481640
test.sa-sb.sa-b::00352,Kim had a drinking problem. Her friends and family got together to help. They all talked to Kim and tried to be comforting. Kim understood they were right.,0.0,content_diversity,Kim promised she would get help right away.,Kim made a solemn vow to join a self help group.,Kim left and went straight to an alcholics anonymous group meeting.,Kim took an oath that she would accept help and never drink again.,Kim assured her family that she would quickly get the help she needed.,-0.060,0.916,-0.358,-0.900,-0.482,20.200000,0.343913,0.592227,11.962983,0.203674,50.133728,0.659898,0.000000,29.690541,0.390810
test.sa-sb.sa-b::00354,Kate slept on a couch in a suite in Las Vegas. There weren't enough beds for everyone. Kate was always stiff after a night of sleeping on a couch. However today she only had a slightly stiff neck.,1.0,content_diversity,Later in the day her neck started to feel worse again.,Kate put that down to the CBD oil she took before bed.,This couch was more comfortable than most.,Kate was grateful that her day in Vegas was not ruined by a stiff neck.,The next night Kate got a bed and a friend slept on the sofa.,-0.025,0.949,-0.238,-0.748,-0.197,-9.045313,-0.065509,0.586816,-5.307933,-0.038441,44.933404,0.624880,0.000000,26.367637,0.366690
test.sa-sb.sa-b::00354,Kate slept on a couch in a suite in Las Vegas. There weren't enough beds for everyone. Kate was always stiff after a night of sleeping on a couch. However today she only had a slightly stiff neck.,0.0,content_diversity,The sofa felt less uncomfortable than other sofas.,It was comfy compared to many sofas.,Kate felt more comfort from this sofa compared to others.,Kate's experience with this couch was different because it felt more cozy and snug than usual.,In her past experiences Kate found most other couches to be less comfortable.,-0.036,0.940,-0.439,-0.951,-0.709,15.030000,0.353677,0.500418,7.521276,0.176986,73.044554,0.999781,0.000000,36.552776,0.500308
test.sa-sb.sa-b::00355,"My teacher was going over yesterday's homework. She's writing the solutions on the board. Afterwards, she started to discuss today's lesson. I was drowsy.",1.0,content_diversity,I fell asleep and she was most insulted.,My teacher slapped me about the face to wake me up.,The girl next to me fell asleep as well and our snoring alerted the teacher.,When we had the test later that week I had no idea what to put.,I was nearly asleep but my friend next to me nudged me awake.,-0.048,0.924,-0.239,-0.769,-0.318,20.933125,0.233281,0.505322,10.577968,0.117882,52.849921,0.836847,0.000000,26.706227,0.422877
test.sa-sb.sa-b::00356,Jake and Jane decided to break up. They tried to stay friends. It was too difficult. Jealousy issues came up.,0.0,content_diversity,Jake decided to be gay for a while,Jake explored his bisexuality and loved it,Jake met Phil and evetually they married,His friend Xander took him out to dinner the next night,Jake quite enjoyed homoseuality after giving it a whirl,-0.025,0.967,-0.135,-0.758,-0.397,5.571563,0.353564,0.414938,2.311852,0.146707,114.034077,1.657362,0.000000,47.317060,0.687702
test.sa-sb.sa-b::00357,Janice has a caffeine addiction but doesn't have a lot of money. She went to the store to see what she could get to satisfy her need. She ended up buying chocolate ice cream and soda to make a drink. After getting home she mixed the chocolate ice cream and soda.,0.0,content_diversity,Overall they liked it,She likes the drink,She thought the drink was pretty good,Overall the drink ended up being good,It turned out to be really good,-0.050,0.928,-0.421,-0.781,-0.640,17.936875,0.614569,0.539674,9.680059,0.331667,16.343382,0.893627,0.000000,8.820093,0.482267
test.sa-sb.sa-b::00358,A little baby boy named James was just starting to walk. He loved learning to walk so much that he would giggle as he stood. Sometimes James would even try to chase his mommy as he played. One time though James fell because he got too excited as he walked.,1.0,content_diversity,James never walked again.,James laughed as he stood up and then walked to his mommy.,James cried for a moment and then got back up to play.,His mommy was immediately at his side helping him up.,James crawled for a day before walking again.,-0.044,0.929,-0.307,-0.833,-0.240,12.692031,0.213725,0.626510,7.951680,0.133901,39.918165,0.375456,0.000000,25.009114,0.235227
test.sa-sb.sa-b::00358,A little baby boy named James was just starting to walk. He loved learning to walk so much that he would giggle as he stood. Sometimes James would even try to chase his mommy as he played. One time though James fell because he got too excited as he walked.,0.0,content_diversity,James chuckled while rising up and then went to his mommy.,James giggled as he walked to his mommy.,"James, standing up, moved toward his mommy while laughing.",James got back on his feet and walked to his mommy all the while laughing.,A cackling James stood up and walked to his mommy.,-0.168,0.813,-0.600,-0.982,-0.881,27.395469,0.445464,0.535981,14.683459,0.238760,52.542110,0.771297,0.000000,28.161588,0.413401
test.sa-sb.sa-b::00360,It had been raining for days. Sam's house was fairly low. It flooded within the second day. Sam had to evacuate on the third day.,0.0,content_diversity,Sam's house was devastated by the flood.,The flood ruined his house.,The house ended up being demolished by the flood.,There was nothing left of Sam's house afterwards.,Complete destruction is the only way to describe what happened to his home.,-0.058,0.916,-0.454,-0.848,-0.572,0.959062,0.203673,0.624641,0.599070,0.127223,70.632668,0.556975,0.000000,44.120092,0.347910
test.sa-sb.sa-b::00362,The man cooked some beans. It took a lot of time to get them cooked. He thought that it was a waste of energy. He read about soaking beans.,0.0,content_diversity,He found out it was possibly not as difficult as he perceived it to be.,This taught him that soaking beans is not so hard after all.,He discovered that he could soak some beans with very little effort.,The realization hit him that soaking beans is not so difficult.,This brought to light the fact that soaking beans is in fact easy.,-0.106,0.838,-0.439,-0.913,-0.686,30.592813,0.484702,0.581909,17.802238,0.282052,43.870903,0.509066,0.000000,25.528881,0.296230
test.sa-sb.sa-b::00365,Ken loved his favorite comedy. He excitedly showed it to his girlfriend. She watched it all the way through without laughing. Ken nervously asked if she liked it.,1.0,content_diversity,Kate said it was terrible.,"Kate said she thought it was great, she wasn't a LOL type of girl.",It was then he realised she was asleep and probably had been the whole movie.,Kate said she had seen it before but didn't like to say.,"Kate was dead, that was why she was so quiet.",-0.079,0.912,-0.222,-0.785,-0.307,36.813281,0.431113,0.463976,17.080491,0.200026,98.057341,1.029253,0.000000,45.496284,0.477549
test.sa-sb.sa-b::00366,Tucker is sitting home one night bored. He gets a text from his friend Sherry. She asks him to come out dancing with her. Tucker agrees and heads out to meet her.,0.0,content_diversity,The traffic is so bad that he doesn't make it to the club and ends up back at home.,He ends up returning home when he sees how much traffic there is.,The level of traffic is so high that he never gets to the club and turns back.,He turns back when he see how terrible the traffic is.,Traffic is awful on the roads so he decides to turn around and return to his house.,-0.091,0.874,-0.437,-0.936,-0.511,46.086875,0.732041,0.529168,24.387719,0.387373,46.319536,0.543993,0.000000,24.510836,0.287864
test.sa-sb.sa-b::00367,"Corina enjoyed painting. She needed a new set of paintbrushes. Corina's birthday was coming up. For her birthday, her parents bought her a new set of brushes.",0.0,content_diversity,Corina told them she was quiting painting so did not want them.,Corina said she did not want them as she was giving up painting.,Corina said her painting career was over so didn't want them.,Corin told them she was giving up painting so they were of no use to her.,corina said the brushes were not needed as whe was not painting any more.,-0.128,0.812,-0.511,-0.960,-0.878,34.931250,0.574312,0.440230,15.377792,0.252829,88.857292,1.095275,0.000000,39.117667,0.482173
test.sa-sb.sa-b::00368,Mike had a very stressful job. He needed a vacation. So he took one. He headed to the sunny beaches of mexico.,1.0,content_diversity,He liked it so much he sold his house back home and moved there.,He was so relaxed he seriously thought about finding a new job.,The beaches were packed and noisy and relaxation was almost impossible so he felt worse.,Mike found all of the beaches were closed because of a virus and he had to stay in his hotel.,Mike met a beautiful girl there who he took home and married.,-0.047,0.937,-0.246,-0.723,-0.228,38.599687,0.377836,0.552171,21.313622,0.208630,75.864595,0.667705,0.000000,41.890218,0.368687
test.sa-sb.sa-b::00368,Mike had a very stressful job. He needed a vacation. So he took one. He headed to the sunny beaches of mexico.,0.0,content_diversity,With the pressure of work gone he started to think about quitting his job.,He enjoyed being chilled so much he decided to make a career move.,Without the stress he was much happier so thought he would look for a new job.,"With no work to bother him , he thought he may find some other work when he got back.","Mike thought about sitching jobs, such was the relief of being away from work.",-0.048,0.934,-0.321,-0.839,-0.569,14.315625,0.175939,0.486946,6.970937,0.085673,88.194860,1.037263,0.000000,42.946140,0.505091
test.sa-sb.sa-b::00369,Tammy lost her cat. She looked everywhere. Tammy even put up flyers. Nobody ever actually called.,0.0,content_diversity,Tammy ended up feeling really sad for a long time after losing the kitten.,Depression struck Tammy after this happened.,Tammy became depressed for awhile because of this experience.,Losing the kitten made Tammy feel unhappy for an extended period of time.,The fact that her kitten was gone made Tammy very depressed.,-0.047,0.935,-0.422,-0.926,-0.768,40.113750,0.631331,0.526117,21.104536,0.332154,11.451403,0.704475,0.000000,6.024781,0.370636
test.sa-sb.sa-b::00370,Jake was looking forward to a movie for months. He was excited by all the previews. He got early screening tickets. The movie was not what Jake expected at all.,0.0,content_diversity,Very disappointed in the movie Jake was...,Jake was very sad the movie did not live up to its billing,Jake felt cheated as the previews were the best bits of the film.,Jake was very let down.,Jake felt misled as the previews had looked so good.,-0.084,0.890,-0.381,-0.900,-0.566,22.644531,0.424962,0.565239,12.799576,0.240205,42.544625,0.597359,0.000000,24.047889,0.337651
test.sa-sb.sa-b::00371,The couple went on a date. The man tried to pay. The woman grabbed the check. She insisted on paying.,0.0,content_diversity,They agreed to pay half the bill each.,After a small spat they decided to pay half each.,In the end they decided to halve the check.,They settled the argument by paying half each.,They decided it best to go dutch in the end.,-0.085,0.879,-0.429,-0.828,-0.553,4.573594,0.088413,0.530261,2.425198,0.046882,51.093975,1.096295,0.000000,27.093136,0.581322
test.sa-sb.sa-b::00372,My cousin Keith bought a huge watermelon. Since we were camping we needed a way to keep it cold. He tied a rope around the melon. He drifted it in the river.,0.0,content_diversity,A passing boat crushed it.,It was destroyed by a passing vessel.,Another craft ran it over.,A boat coming by obliterated it.,It was run over by a boat coming by.,-0.068,0.874,-0.541,-0.904,-0.597,38.140312,1.262790,0.384289,14.656897,0.485276,17.910259,0.778437,0.000000,6.882713,0.299145
test.sa-sb.sa-b::00373,Danny had some food at a fast-food restaurant. A strange man came into the building. He approached the fountain drink dispensers. He held an empty gallon container near the machine.,1.0,content_diversity,Danny couldn't believe the cheek of the man and went to talk to him and ended up being punched.,"The man filled the container right up and left, nobody seemed to mind so danny carried on eating.",After the container was full he thanked the manager for helping him out so it seemed okay.,He wasn't watching what he was doing and the container overflowed evrywhere and they kicked him out.,The next time Danny ate there he took a similar container and filled it up too!,-0.059,0.924,-0.205,-0.834,-0.339,48.276875,0.464082,0.471144,22.745338,0.218649,50.574551,0.233619,0.000000,23.827873,0.110068
test.sa-sb.sa-b::00373,Danny had some food at a fast-food restaurant. A strange man came into the building. He approached the fountain drink dispensers. He held an empty gallon container near the machine.,0.0,content_diversity,Danny took his own container next time and filled his up too.,Danny filled his own container up the very next time he went to the place.,The next time Danny ate there he filled up his container as well.,Danny took a container of his own the next time he went there and filled that up too!,Danny went back one day with his own container and did the same as the man.,-0.144,0.836,-0.502,-0.983,-0.775,44.955000,0.625062,0.489558,22.008060,0.306004,42.942947,0.444888,0.000000,21.023044,0.217798
test.sa-sb.sa-b::00374,Craig was excited to go shopping. He bought a frozen pizza. At the register he gave them a coupon that halved the price. Unfortunately it was turned down by the cashier.,1.0,content_diversity,The coupon had expired yesterday.,The cashier pointed out he bought the wrong brand for the coupon.,The manager referred him to the sign that said the store does not take coupons.,The store that advertised their own pizza with the coupon was not the store Craig was at.,The requirement to use the coupon was not met as it called for buy 3 get 1 half price.,-0.067,0.909,-0.258,-0.877,-0.390,10.253750,0.142167,0.538825,5.524981,0.076603,114.550790,0.601465,0.000000,61.722873,0.324085
test.sa-sb.sa-b::00376,"It was the day of Shannon's wedding. She was terrified, but excited. She waited in the dressing room until the wedding planner called her. She walked down the aisle with her father.",0.0,content_diversity,It couldn't get any better for her.,She still remembers it.,The whole thing was magical.,A moment to never be forgotten.,"Overtime, truly memorable for her.",-0.011,0.976,-0.183,-0.692,-0.415,-0.833437,0.124321,0.429615,-0.358058,0.053410,78.138927,2.074442,0.000000,33.569685,0.891212
test.sa-sb.sa-b::00377,Moana normally had a flat stomach. But for the past few weeks she noticed that she was bloated. She knew something was wrong so she made a Doctors appointment. The Doctor suspected she was pregnant so he ordered an ultrasound.,1.0,content_diversity,Indeed Moana was pregnant.,The ultrasound showed that she was going to have twins.,It was a false alarm and Moana was just bloated from eating too much.,That was how she found out she would soon be having a son.,She was further along than he ever expected.,-0.040,0.959,-0.227,-0.704,-0.258,0.480000,-0.173457,0.611828,0.293678,-0.106126,57.450225,1.120203,0.000000,35.149677,0.685372
test.sa-sb.sa-b::00377,Moana normally had a flat stomach. But for the past few weeks she noticed that she was bloated. She knew something was wrong so she made a Doctors appointment. The Doctor suspected she was pregnant so he ordered an ultrasound.,0.0,content_diversity,Turns out it was pregnancy causing the bloating.,The doctor was right about his hunch that it could be a pregnancy.,The ultrasound verified that she would be having a baby.,As it happens she was going to be having a kid.,The ultrasound revealed the existence of a fetus in her womb.,-0.053,0.919,-0.339,-0.822,-0.513,10.193437,0.211002,0.601588,6.132254,0.126936,52.635485,1.023076,0.000000,31.664897,0.615471
test.sa-sb.sa-b::00378,Jane need to get something from the store. But she was late for an appointment. She grabbed her things quickly and headed to checkout. She thought it would be quick.,1.0,content_diversity,She had no idea what she was in for.,Boy was she wrong on that one.,She was lucky enough to be in and out in 10 minutes.,She thought she was good on time until she realized the stores clock didn't work.,She never expect the store would be robbed moments later.,-0.041,0.943,-0.139,-0.681,-0.243,4.637500,0.083752,0.557253,2.584260,0.046671,82.175368,0.988025,0.000000,45.792450,0.550579
test.sa-sb.sa-b::00378,Jane need to get something from the store. But she was late for an appointment. She grabbed her things quickly and headed to checkout. She thought it would be quick.,0.0,content_diversity,She didn't the cashier being held up was even a possibility.,She never thought the store being robbed was possible.,She was taken back by the men in masks demanding money.,"In shock, she complied with the requests of the thieves.",Being a witness to a robbery was not on her to do list that day.,-0.037,0.954,-0.241,-0.797,-0.331,26.107813,0.524562,0.461047,12.036925,0.241848,41.965451,0.648507,0.000000,19.348040,0.298992
test.sa-sb.sa-b::00383,We stayed up all night listening to music. We watched A Hard Day's Night together. Then we listened to Beatles songs the rest of the evening. We had the songs stuck in our heads when we went to bed.,1.0,content_diversity,We lucked up different Beatles movies after,Everyone enjoyed the movie and went home,We ended up playing The Beatles records all day the next day,Everyone thought it was a good idea to listen to the music from The Beatles,Everyone agreed that the music was great,-0.036,0.932,-0.229,-0.785,-0.372,24.982500,0.353516,0.531596,13.280596,0.187928,76.691992,1.778237,0.000000,40.769152,0.945304
test.sa-sb.sa-b::00383,We stayed up all night listening to music. We watched A Hard Day's Night together. Then we listened to Beatles songs the rest of the evening. We had the songs stuck in our heads when we went to bed.,0.0,content_diversity,They agreed about the music,The music was agreed upon,Everyone picked the same music,The music turned out to be a good choice for everyone,Everyone enjoyed the music,-0.070,0.924,-0.387,-0.938,-0.690,37.695937,1.137626,0.449309,16.937141,0.511146,35.736061,0.669813,0.000000,16.056550,0.300953
test.sa-sb.sa-b::00384,I had a best friend of close to ten years. I'd never known him to date much. He ended up getting a serious girlfriend who was rude and controlling. I tried to talk to him about it but must've upset him.,0.0,content_diversity,I haven't heard a word from him since.,We haven't spoken since.,Since I tried to talk to him about her he hasnt spoken to me.,We have had no contact since then.,I don't think he is speaking to me any more.,-0.035,0.934,-0.475,-0.829,-0.758,12.771719,0.203044,0.607993,7.765120,0.123449,47.027352,0.421575,0.000000,28.592317,0.256315
test.sa-sb.sa-b::00385,I was around 12 years old. I told my mother bye as I went to school. After school later that day my brother picked me up. He told me and my twin brother our mother had died.,0.0,content_diversity,That is why I decided ot become a shrink.,That is one of the reasons I entered the pychiatric field.,It's one of the reasons I took up psychiatry.,The fact that I am a psychiatrist is probably very much down to that.,It was that trauma that led to me becomin a psyhiatrist.,-0.066,0.887,-0.380,-0.849,-0.556,33.333125,0.629719,0.363149,12.104883,0.228682,50.248120,0.699862,0.000000,18.247543,0.254154
test.sa-sb.sa-b::00386,Jane was playing with friends. They all decided to run up a hill. Jane struggled to get up. Everyone encouraged her to keep going.,1.0,content_diversity,Jane gave up and plopped down on the ground.,She did keep going and felt great when she reached the top.,She hated running from that day onwards.,Jane fainted and fell to the ground when she was halfway up.,The encouragement from her friends helped Jane get to the top.,-0.045,0.924,-0.322,-0.766,-0.285,6.621562,0.246328,0.627658,4.156077,0.154610,19.929526,0.774361,0.000000,12.508929,0.486034
test.sa-sb.sa-b::00387,Jane moved in and started working on an old house she bought. When thirsty she went to get a cup of water. But nothing came out of the faucet. She went to the basement to discover there were no pipes.,1.0,content_diversity,"She phoned the realtor who said she should have checked this when she viewed, Jane is furious.",Luckily Janes best friend is a plumber and she put it all right very quickly.,Jane had to go to the shop for bottled water and tried to figure out what to do.,Jane had forgotten about this so had to carry on and just be thirsty.,Jane phoned the police as she realised the copper pipes had been stolen.,-0.037,0.937,-0.182,-0.779,-0.298,23.176875,0.306616,0.498080,11.543944,0.152719,52.281501,0.476189,0.000000,26.040383,0.237180
test.sa-sb.sa-b::00388,Ken wanted to be a rapper. He practiced often. He tried to join a local rap battle. He froze and was embarrassed.,0.0,content_diversity,"After that day, ken never rapped again.",Ken never rapped again after what had happened to him.,Nobody ever heard ken rap again after that day.,Ken never rapped again after that incident.,"After that happened , Ken gave up wanting to be a rapper.",-0.132,0.825,-0.519,-0.976,-0.825,22.043906,0.565928,0.540023,11.904216,0.305614,58.656600,0.853829,0.000000,31.675913,0.461087
test.sa-sb.sa-b::00389,"Janice arrived on campus. She parked her car and started to walk towards the main hall. The double front doors were open when she was nearby. However, they started to close and smacked her in the face.",1.0,content_diversity,It hurt really bad.,It didn't hurt as much as expected.,She broke her nose.,She ran away crying.,It hurt for the rest of the day.,-0.027,0.939,-0.361,-0.751,-0.294,8.677969,0.481000,0.513231,4.453805,0.246864,16.098452,0.617909,0.000000,8.262229,0.317130
test.sa-sb.sa-b::00389,"Janice arrived on campus. She parked her car and started to walk towards the main hall. The double front doors were open when she was nearby. However, they started to close and smacked her in the face.",0.0,content_diversity,It stung for hours.,It made her eyes water.,The pain was intense.,She cried for a while.,She never felt such pain.,-0.017,0.965,-0.361,-0.772,-0.406,6.305312,0.369264,0.480978,3.032715,0.177608,19.650649,0.657004,0.000000,9.451525,0.316004
test.sa-sb.sa-b::00390,Larry is out with his friends at the bar. He comes starts feeling sick. He decides to go home early. When he gets home he sees a truck in the driveway.,0.0,content_diversity,Larry's home is being burgled,Someone is breaking into his house,All of his belongings are being stolen,Larry found robbers in his home,Larry;s house had been broken into by the truck's owner,-0.025,0.959,-0.353,-0.759,-0.573,6.542656,0.445730,0.522063,3.415679,0.232699,73.336167,0.997565,0.000000,38.286099,0.520792
test.sa-sb.sa-b::00392,I went to the lake the other day. While I was there I saw a lot of turtles. I picked up a couple of the turtles and held them. My parents told me to put them down.,1.0,content_diversity,I pretended to put them down but slipped them into my shirt.,I put the turtles down like I was told.,I begged my parents to let me keep the turtles as pets.,I lied to my parents and told them my teacher asked me to bring a couple turtles back to be the class pet.,"I said no and ran away to hide, I was not giving up my turtles.",-0.076,0.909,-0.266,-0.811,-0.304,-4.828125,-0.108753,0.602419,-2.908555,-0.065515,107.011804,1.195368,0.000000,64.465953,0.720113
test.sa-sb.sa-b::00392,I went to the lake the other day. While I was there I saw a lot of turtles. I picked up a couple of the turtles and held them. My parents told me to put them down.,0.0,content_diversity,I made up a story about my teacher asking me to find turtles for the class terrarium.,I played it off as a homework assignment for school and said my teacher was giving extra credit for all new class pets.,I thought fast and blamed my teacher for my turtle taking ways.,I pretended I thought my parents already knew because the teacher was supposed to have sent them an email about the assignment to bring in class pets.,I crossed my fingers behind my back then told my parents I would fail if I did not bring the turtles to my teacher because that was what I signed up for.,-0.086,0.906,-0.253,-0.871,-0.499,40.217500,0.624284,0.489463,19.684997,0.305564,122.643705,0.789341,0.000000,60.029614,0.386354
test.sa-sb.sa-b::00393,Mike was at a ball game. He needed a snack. He went to buy a snack. On the way back from getting a snack.,0.0,content_diversity,An old buddy showed up.,Mike happened upon a friend from his past.,A friend he had known for a long time appeared before him.,A buddy he had known for years turned up.,Someone he had been friends with forever walked up to him.,-0.052,0.904,-0.465,-0.804,-0.686,23.168281,0.588565,0.484189,11.217823,0.284977,26.793309,0.721137,0.000000,12.973021,0.349166
test.sa-sb.sa-b::00394,Haley enjoys living on the farm. She has many daily responsibilities. Her favorite thing to do is feed the animals. She also likes to ride her horse.,0.0,content_diversity,she purchased more farm animals,she got more cows,she ended up with more pigs and cows,she bought alot of animals,she now has more farm pets,-0.075,0.920,-0.497,-0.887,-0.548,43.140000,1.591127,0.303963,13.112958,0.483643,27.709231,0.824661,0.000000,8.422577,0.250666
test.sa-sb.sa-b::00395,"Abby recently had a physical done by her doctor. During the visit Abby told her doctor she wanted to tone her body. Abby's doctor recommended that she do strength training exercises. After leaving the doctor, Abby researched strength training exercises.",0.0,content_diversity,Abby found that the exercises were simple.,She learned how easy it is to do these exercises.,The exercises ended up being easy.,Abby found that they are not at all challenging.,They were not particularly demanding at all.,-0.041,0.924,-0.455,-0.881,-0.638,15.951719,0.418076,0.540438,8.620909,0.225944,36.924441,0.795944,0.000000,19.955358,0.430158
test.sa-sb.sa-b::00396,The man put on his watch. His watch was not running. He took his watch off. He shook the watch.,1.0,content_diversity,The watch started working and he put it back on.,The man dropped the watch and its face cracked. He then threw it in the bin.,"As he shook the watch the other people in the room froze, it was like he could stop time.",He looked at the watch and it was still not working. He put it back on anyway.,The watch separated into a hundred pieces and scattered about the room.,-0.089,0.877,-0.363,-0.925,-0.431,35.691562,0.391972,0.596141,21.277220,0.233671,91.655837,0.817330,0.000000,54.639844,0.487245
test.sa-sb.sa-b::00397,"I bought a little stuffed giraffe. He was adorable, and I admired him in the checkout lane. I took him home to show my little girl. She fell in love with him on first sight.",1.0,content_diversity,I gave the giraffe to my little girl.,That night the family dog found the giraffe and tore it to pieces.,The new had a recall notice for the giraffe and I had to return it.,My other three children were jealous and I had to go back and buy three more.,The toy fell apart too quickly and I returned it.,-0.072,0.892,-0.309,-0.759,-0.286,32.058750,0.375544,0.547441,17.550274,0.205588,73.659738,0.675690,0.000000,40.324361,0.369900
test.sa-sb.sa-b::00397,"I bought a little stuffed giraffe. He was adorable, and I admired him in the checkout lane. I took him home to show my little girl. She fell in love with him on first sight.",0.0,content_diversity,Our dog was jealous and stole it while we were sleeping all that we found was a leg and some stuffing.,My dog snagged that thing first chance he got and destroyed the giraffe.,The dog that slept with her must of been jealous and made sure no one would like the giraffe anymore.,The family mutt took off with it and we assume it was shredded.,The giraffe got some gravy on it from dinner and the dog chewed it up.,-0.055,0.927,-0.285,-0.827,-0.565,36.649375,0.391738,0.438109,16.056419,0.171624,57.394263,0.705022,0.000000,25.144940,0.308876
